title
"Number of Jobs Ended: by User Institution"
parameters

start,end
2015-03-01,2015-03-31
---------
"User Institution","Number of Jobs Ended","Number of Jobs via Gateway","Number of Jobs Running","Number of Jobs Started","Number of Jobs Submitted","Number of Users: Active","Number of PIs: Active","Number of Allocations: Active","Number of Institutions: Active","XD SUs Charged: Total","NUs Charged: Total","CPU Hours: Total","Node Hours: Total","Wait Hours: Total","Wall Hours: Total","XD SUs Charged: Per Job","Std Err of XD SUs Charged: Per Job","NUs Charged: Per Job","Std Err of NUs Charged: Per Job","CPU Hours: Per Job","Std Err of CPU Hours: Per Job","Node Hours: Per Job","Std Err of Node Hours: Per Job","Wait Hours: Per Job","Std Err of Wait Hours: Per Job","Wall Hours: Per Job","Std Err of Wall Hours: Per Job","Job Size: Per Job (Core Count)","Std Err of Job Size: Per Job (Core Count)","Job Size: Min (Core Count)","Job Size: Max (Core Count)","XSEDE Utilization (%)","User Expansion Factor","Job Size: Normalized (% of Total Cores)","Job Size: Weighted By XD SUs (Core Count)","Number of Resources: Active","Allocation Usage Rate (XD SU/Hour)"
"St Vincent College - Saint Vincent College",160,0,160,160,143,3,2,2,1,27560,594634.560,5993.8267,374.6146,362.2409,16.3052,172.2500,61.51496671758179,3716.4660000,1327.2469218985448,37.46141688,13.375604578113437,2.34134125,0.8359752861320898,2.26400563,0.48129901421797094,0.10190750,0.027921208672850525,281,49.240186839613024,16,4000,0.008753322%,34.2950,0.27441,1433.2075,1,37.0929
"Bowling Green State U - Bowling Green State University",158,0,172,158,134,2,2,2,1,45978,992021.328,10192.6400,618.8148,799.8947,240.4772,291.0000,72.52317517036633,6278.6160000,1564.760027475824,64.51037975,15.762056588821267,3.91654937,0.9725461650350669,5.06262468,1.0001295338043314,1.52200759,0.29433195595113676,42,1.3985472894122295,16,128,0.013798586%,4.2909,0.03724,48.4026,2,61.8816
"Howard U - Howard University",155,0,156,155,126,1,1,1,1,8437,182036.712,1834.7467,114.6717,125.9845,29.4078,54.4323,3.765812684635149,1174.4304000,81.25117448368798,11.83707548,0.8187393387116704,0.73981742,0.05117120866950045,0.81280323,0.08715272534185538,0.18972774,0.04783986758077766,145,8.117962434530517,16,256,0.002679445%,5.5034,0.14160,154.9802,1,11.3553
"UVa Wise - University of Virginia's College at Wise",153,0,203,155,112,1,1,1,1,824094,17780652.144,406529.9734,12704.0616,1080.3294,1043.2938,5386.2353,339.1577561399461,116213.4127059,7317.6677464754775,2657.05864967,167.36852501904053,83.03308235,5.230266406845035,6.96986710,0.9082629899870893,6.81891373,0.4300693556871612,391,2.004816378518601,384,480,4.723296502%,2.0122,1.68767,390.9748,1,1109.1440
"Drake U - Drake University",148,0,153,146,46,3,1,1,1,288566,6226100.016,62445.7689,3902.8608,3158.1879,474.1068,1949.7703,249.49884347027938,42068.2433514,5383.187046714748,421.93087095,54.313233102092404,26.37068108,3.394577068880789,21.63142397,1.2445419928172947,3.20342432,0.27990822525401393,245,26.682715509748633,16,1024,0.080251749%,17.6601,0.20907,352.8876,2,388.3795
"U Arizona - University of Arizona",148,0,164,149,113,7,9,9,1,181024,3905773.824,39339.9877,2458.6083,1417.3644,344.5339,1223.1351,166.1453288826026,26390.3636757,3584.751615971034,265.81072770,36.133004915057505,16.61221824,2.258358380927005,9.51251275,1.3499990356524723,2.32793176,0.3424252562538317,78,7.809842701528112,16,256,0.049928210%,6.5253,0.06509,205.4408,3,243.6393
"U Houston - University of Houston",147,0,173,147,125,8,4,5,1,120777,2605884.552,26261.6577,1641.3534,517.1144,673.1005,821.6122,125.37626683900197,17727.1057959,2705.1183333183067,178.65073265,27.261629614559514,11.16566939,1.703851850909974,3.51778503,0.7075262920921683,4.57891497,0.5920245875059371,93,17.790852931521684,16,2048,0.038352251%,2.2904,0.09082,201.0040,1,162.5532
"Naval Postgrad School - Naval Postgraduate School",146,0,288,151,44,3,1,1,1,392056,8459000.256,73986.8534,4624.1778,3750.4682,3250.4225,2685.3151,234.74003782754724,57938.3579178,5064.75105616716,506.75926986,46.99900991845309,31.67245068,2.937438119903325,24.83753775,1.3722055048143202,22.26316781,0,47,6.157513320933301,16,256,0.108049628%,2.1856,0.04590,64.0752,1,527.6662
"U Central Florida - University of Central Florida",143,0,156,142,83,4,2,2,1,687723,14838311.448,149536.4845,9346.0302,1912.0681,220.3664,4809.2517,829.7067819931801,103764.4157203,17901.753528284855,1045.70968182,180.41056924189783,65.35685455,11.275660577618618,13.46526831,1.3358767181839315,1.54102378,0.17512253126621385,290,30.922528953254094,16,1024,0.218381521%,8.1901,0.28320,918.6353,1,925.6030
"U Alabama, Huntsville - University of Alabama, Huntsville",141,0,146,140,124,6,3,3,1,1002910,21638786.160,218015.7688,13625.9854,360.3429,179.9553,7112.8369,2590.6598095778445,153466.5685106,55896.07605145157,1546.21112624,563.3170128235382,96.63819433,35.20731330147114,2.57387786,0.6408333559394774,1.27627872,0.32659896962169543,1094,262.7366790086672,16,12800,0.318387953%,6.0684,1.06836,6793.1902,1,1349.8116
"Harvey Mudd College - Harvey Mudd College",139,0,139,139,139,2,1,1,1,2717,58621.992,590.8266,36.9265,0.2973,33.7917,19.5468,2.12795994899994,421.7409496,45.91286385962271,4.25055108,0.462709076462729,0.26565827,0.02891931727892744,0.00213885,0.0004640548814379352,0.24310576,0.029593785169313214,35,2.9294207896839213,16,160,0.000862837%,1.0234,0.03418,24.7037,1,3.6568
"NUST - National University of Sciences and Technology",139,0,278,139,139,1,1,1,1,53716,1158976.416,3335.9614,3335.9614,0.0000,3335.9614,386.4460,63.00624954350594,8337.9598273,1359.4228401506841,23.99972230,0,23.99972230,0,0.00000000,0,23.99972230,0,1,0,1,1,0.448985384%,1.0000,0.10000,1.0000,1,72.2961
"Haverford College - Haverford College",136,0,142,136,127,2,2,2,1,21780,469925.280,4736.2755,296.0170,324.4307,91.6088,160.1471,46.11307793584223,3455.3329412,994.9357695437319,34.82555515,10.02668422904439,2.17659559,0.6266677643152744,2.38551985,0.6235895076243845,0.67359412,0.1848382260875471,41,3.734687851046228,16,256,0.006916807%,4.4538,0.04004,59.0230,1,29.3136
"U Minn, Duluth - University of Minnesota, Duluth",135,0,267,132,132,1,1,1,1,57997,1251343.272,3214.9631,3214.9631,0.0000,3214.9631,429.6074,23.70127629015919,9269.2094222,511.37873723647465,23.81454148,0,23.81454148,0,0.00000000,0,23.81454148,0,1,0,1,1,0.432700283%,1.0000,0.10000,1.0000,1,78.0579
"U Delaware - University of Delaware",132,0,186,132,103,4,4,4,1,2667079,57544896.504,578019.0930,35888.9350,4823.7911,1296.4595,20205.1439,2654.603668300704,435946.1856364,57275.72874725599,4378.93252273,575.6375351372869,271.88587121,36.04212410094955,36.54387197,8.463805097977637,9.82166288,0.7902893398343903,201,27.877465708108637,16,1024,0.695052383%,7.2297,0.16160,783.6736,3,3589.6083
"CUNY Brooklyn College - CUNY Brooklyn College",127,0,199,126,123,2,1,1,1,337875,7289991.000,68638.6666,4289.9166,41.8532,1487.6414,2660.4331,166.32130526838878,57401.5039370,3588.5484824707564,540.46194173,33.73214645972757,33.77887087,2.1082591537329733,0.33216825,0.09980802381733128,11.71371181,0.5447895375483279,34,1.532909181338686,16,64,0.735088739%,1.0214,0.22996,52.2771,1,454.7443
"Wellesley College - Wellesley College",121,0,121,121,121,1,1,1,1,1281,27638.856,549.0667,17.1583,18.2429,17.1583,10.5868,0.3255683187283502,228.4202975,7.024462044882884,4.53774132,0.14349012972249944,0.14180413,0.004484066553871216,0.15076777,0.0067464848445011215,0.14180413,0.004484066553871216,32,0,32,32,0.010182238%,2.0632,0.30864,32.0000,1,1.7241
"Missouri State U - Missouri State University",120,0,120,120,120,3,1,1,1,944,20367.744,204.6043,12.7877,1.0704,4.0763,7.8667,3.6301006125474045,169.7312000,78.3230508163228,1.70503583,0.7894273991145712,0.10656417,0.04933921244466226,0.00892000,0.0020368681428158376,0.03396917,0.01246347647489357,30,2.3366642891095846,16,128,0.000298802%,1.2674,0.02930,60.6441,1,1.2705
"LANL - Los Alamos National Laboratory",118,0,125,118,109,1,1,1,1,2860095,61709409.720,621894.7070,38868.4193,312.9576,232.0985,24238.0932,8374.608284929347,522961.0993220,180690.5483556356,5270.29412712,1820.962938740078,329.39338390,113.81018367125488,2.65218305,0.788262936730315,1.96693644,0.4740899141701659,331,73.38149883080615,16,4096,0.908208539%,2.0529,0.32324,3905.9300,1,3849.3876
"Siena College - Siena College",116,0,116,116,50,1,1,1,1,5957,128528.232,1295.2667,80.9542,1773.2719,80.9542,51.3534,0,1108.0020000,0,11.16609224,0.003891683191511088,0.69788103,0.00024323020032649017,15.28682672,0.47279906137596495,0.69788103,0.00024323020032649017,16,0,16,16,0.001891594%,22.9046,0.01563,16.0000,1,8.0175
"Dartmouth College - Dartmouth College",114,0,118,114,111,1,1,1,1,419161,9043817.736,206778.5424,6461.8293,91.6890,107.2857,3676.8509,778.1045902107533,79331.7345263,16788.38463838721,1813.84686316,383.7263787154257,56.68271316,11.99144933485706,0.80428947,0.30438448458574147,0.94110263,0.18940333122849642,833,106.313715192521,32,8192,2.402470740%,1.6707,3.59548,2061.9147,1,564.1467
"Emory U - Emory University",111,0,176,115,111,5,3,3,1,364290,7859921.040,157707.8758,4940.9247,54.8093,1422.0984,3281.8919,271.1701197826578,70810.0994595,5850.766504430625,1420.79167387,118.50764633581007,44.51283514,3.6921151793617524,0.47660261,0.14221915566109275,12.81169730,0.726968117558913,76,5.433249175517795,16,160,0.213501678%,1.0324,0.06740,139.1471,2,490.2961
"UNC Charlotte - University of North Carolina, Charlotte",109,0,110,109,109,1,1,1,1,2995,64620.120,651.1067,40.6944,16.5914,24.9036,27.4771,12.101326841383255,592.8451376,261.0982279296851,5.97345596,2.631329777348448,0.37334312,0.16445811108428232,0.15221468,0.05075942575808622,0.22847339,0.08651462051746238,18,0.42179506154424173,16,32,0.000950869%,1.4080,0.01758,28.4100,1,4.0310
"Weill Cornell Med College - Weill Cornell Medical College",108,0,180,106,15,8,6,6,1,1011689,21828201.864,291932.7508,102305.6093,3254.2930,1699.3576,9367.4907,519.4907328740519,202112.9802222,11208.532052490544,2703.08102593,130.03030925215384,947.27416019,163.16590516304245,30.70087736,3.452303978361245,15.73479259,0.4825279709907572,198,7.576130569806094,16,256,0.408193604%,1.3387,0.18592,203.8740,2,1361.6272
"Chapin Hall - Chapin Hall at the University of Chicago",107,0,129,107,98,3,1,1,1,751138,16206553.488,163567.6756,8456.5029,296.1568,459.4885,7019.9813,1210.159809051432,151463.1167103,26110.408040093695,1528.66986542,263.34493255717524,79.03273738,13.280987221668273,2.76782056,0.8554539738873266,4.29428505,0.6396423434457098,371,28.08165741794387,20,960,0.196685722%,1.9356,0.29827,634.5468,3,1010.9529
"SSSIHL - Sri Sathya Sai Institute of Higher Learning",102,0,106,101,101,4,2,2,1,17932,386900.832,3867.1733,241.6988,3.2069,116.6119,175.8039,27.896246488767307,3793.1454118,601.8894142416434,37.91346373,5.987453569715518,2.36959608,0.37421584810723174,0.03175149,0.018945293250556564,1.14325392,0.1782415700314342,33,1.715816439397831,16,128,0.005647580%,1.0260,0.03223,40.3105,1,24.1346
"Clemson U - Clemson University",101,0,202,103,16,6,4,4,1,4648379,100293425.304,1010608.6887,63163.0430,3079.2217,2789.1791,46023.5545,0,993004.2109307,0,10006.02662079,0,625.37666337,0,29.89535631,1.8322991624606222,27.61563465,0,289,14.584448941350802,16,384,1.475882380%,1.9272,0.28223,376.7715,1,6256.2301
"UC Merced - University of California, Merced",100,0,395,105,103,3,1,1,1,205121,4425690.696,89213.5664,12926.6735,57.5765,6918.4980,2051.2100,0,44256.9069600,0,892.13566400,0,129.26673500,0,0.54834762,0.16248654714858807,69.18498000,0,29,3.1047647253858064,10,320,1.654432522%,1.0045,0.27971,17.1817,1,276.0713
"Bloomsburg U - Bloomsburg University of Pennsylvania",99,0,128,102,71,4,2,2,1,107439,2318103.864,23331.5510,1458.2218,1031.7316,554.2796,1085.2424,297.3912394928665,23415.1905455,6416.513383298087,235.67223232,64.66756546254597,14.72951313,4.041722841409128,10.11501569,1.527784681472607,5.59878384,0.6893497055336021,23,2.5151017288186486,16,160,0.029984382%,2.1881,0.01963,114.6547,2,144.6016
"U Sussex - University of Sussex",98,0,99,98,88,1,1,1,1,654617,14124016.392,142339.4890,8896.2185,233.0212,34.1445,6679.7653,4521.74902029015,144122.6162449,97561.25686178028,1452.44376531,983.2025858940581,90.77773980,61.45016161837863,2.37776735,0.7111101562454516,0.34841327,0.12047838344581922,921,209.35515568507935,16,8192,0.207871104%,4.6365,0.89941,7574.1289,1,881.0458
"Colorado State U - Colorado State University",96,0,118,95,70,5,5,5,1,132681,2862725.256,34305.7423,11018.8711,806.9116,548.5323,1382.0938,392.3067171893359,29820.0547500,8464.409730077112,357.35148229,85.28906235217393,114.77990729,19.2367505982774,8.49380632,1.5615124042500799,5.71387813,0.8595421209727983,76,8.293236869749819,16,256,0.042428367%,3.1919,0.06266,221.2707,3,178.5747
"College of Wm & Mary - College of William and Mary",91,0,124,88,83,2,2,2,1,617604,13325423.904,125209.3688,7825.5855,47.1644,698.6823,6786.8571,658.268750350372,146433.2297143,14202.806557559627,1375.92712967,133.48559869584886,85.99544505,8.342849918490568,0.53595909,0.13913474515726118,7.67782747,0.5536542017648676,233,25.252984038943524,16,640,1.340935097%,1.0833,1.57592,313.3138,1,831.2301
"Concordia U - Concordia University",91,0,165,91,87,2,1,1,1,493452,10646720.352,100050.5956,6253.1621,106.6394,1563.2906,5422.5495,0,116996.9269451,0,1099.45709451,0,68.71606703,0,1.17186154,0.3291365160327425,17.17901758,0,64,0,64,64,1.071496138%,1.0682,0.43287,64.0000,1,664.1346
"U Pittsburgh Sch of Med - University of Pittsburgh School of Medicine",89,0,105,89,68,3,2,2,1,44837,967403.112,12686.7114,5561.1030,703.4167,302.9415,503.7865,74.04060194646756,10869.6978876,1597.5000275969842,142.54731910,16.887409828922085,62.48430337,10.150950603436646,7.90355843,1.5946863549107164,3.40383708,0.37324132872278376,70,11.36883726063555,16,512,0.017739135%,3.7285,0.06573,53.3010,2,60.3459
"W Carolina U - Western Carolina University",88,0,92,88,88,2,1,1,1,9316,201002.016,2026.0579,126.6283,0.9352,63.3947,105.8636,24.251536979907566,2284.1138182,523.2511618784856,23.02338523,5.2730206154586226,1.43895795,0.3295637884661682,0.01062727,0.0036631437685518986,0.72039432,0.16475332702232096,34,1.403548149743226,16,64,0.002958834%,1.0151,0.03320,32.0670,1,12.5384
"U Maryland, Baltimore - University of Maryland, Baltimore",83,0,105,79,64,3,2,2,1,312606,6744787.056,75025.3955,15614.2247,414.6428,424.8387,3766.3373,1598.9579539162598,81262.4946506,34499.11681369723,903.92042771,346.8933588593082,188.12318916,39.00949858812843,5.24864304,1.001925031000949,5.11853855,0.8244871255712529,70,19.052722229291135,16,832,0.104903909%,1.6400,0.06573,774.6232,2,420.7349
"Georgia State U - Georgia State University",81,0,95,82,73,3,1,1,1,432649,9334834.824,92858.9201,5803.6823,281.9827,177.9385,5341.3457,1995.3230624480057,115244.8743704,43051.090395378174,1146.40642099,424.95709103944057,71.65039877,26.55981818996504,3.43881341,1.0656056017845095,2.19677160,0.3889164677166232,288,17.8738719446639,32,1216,0.135610198%,2.2041,0.28125,883.8359,1,582.3001
"Smithsonian Astrophys Obs - Smithsonian Astrophysical Observatory",81,0,106,82,58,2,3,3,1,5509524,118873489.824,1195934.5068,74745.9068,590.7977,500.7733,68018.8148,12238.251169891468,1467573.9484444,264052.5072415783,14764.62354074,2658.39886470036,922.78897284,166.1499290437725,7.20485000,1.2881814017441093,6.18238642,0.8036251590370218,903,147.22442664931788,128,4096,1.746530270%,2.2543,0.88184,3234.6867,1,7415.2409
"U Hamburg - University of Hamburg",80,0,81,80,63,2,2,2,1,226446,4885798.896,49238.0845,3077.3801,462.5133,133.0267,2830.5750,1064.649915611415,61072.4862000,22970.88657923189,615.47605625,231.4959753003211,38.46725125,14.46849845627007,5.78141625,1.1213708610728528,1.66283375,0.2769534647791278,145,14.829430198089202,16,800,0.071906785%,3.2360,0.14160,652.1500,1,304.7725
"U Hawaii, Manoa - University of Hawaii, Manoa",78,0,112,86,82,3,3,3,1,41643,898489.368,6556.2881,702.2626,60.8613,621.1514,533.8846,69.12017106624802,11519.0944615,1491.3368109253672,84.05497564,11.372788518519194,9.00336667,0.8079861003740069,0.70768953,0.32049874517711197,7.96347949,0.7786770320155559,47,11.991131519530947,1,480,0.009471957%,1.1582,0.04545,30.7459,2,56.0471
"Louisiana Tech - Louisiana Tech University",77,0,119,71,71,1,1,2,1,231147,4987227.672,47091.0266,2943.1891,80.6891,954.0875,3001.9091,612.1788171172213,64769.1905455,13208.370158121168,611.57177403,123.97490001183749,38.22323506,7.7484312507398485,1.13646620,0.2842887581502542,12.39074675,0.6648666620221545,30,4.530892511673843,16,160,0.060518708%,1.0493,0.02560,124.3902,2,311.0996
"U Arkansas - University of Arkansas",77,0,139,80,65,4,3,3,1,449872,9706438.272,99773.3426,18712.1797,234.3656,1483.1729,5842.4935,123.02671906970699,126057.6398961,2654.424490647998,1295.75769610,40.07607896186902,243.01532078,67.65394312937207,2.92957000,0.7045218117391655,19.26198571,0.15828986995407035,70,4.912355094443077,16,192,0.123396834%,1.8266,0.05772,70.1379,3,605.4805
"Imperial College London - Imperial College London",74,0,76,74,74,1,1,1,1,6913,149154.888,1502.7067,93.9192,4.6884,57.8205,93.4189,12.555036747862518,2015.6065946,270.8874728718817,20.30684730,2.730593258709861,1.26917838,0.1706620786693803,0.06335676,0.0278327674582433,0.78135811,0.0949771026603388,35,4.185424449492799,16,128,0.002194537%,1.0798,0.03418,56.0613,1,9.3042
"Oregon State U - Oregon State University",73,0,85,72,39,4,4,4,1,614531,13259120.856,140423.1464,19333.7588,993.4360,313.2041,8418.2329,2337.6721746185035,181631.7925479,50437.614839568836,1923.60474521,506.48401550017513,264.84601096,61.00481767782207,13.79772222,1.9977274517451005,4.29046712,0.7401525500568117,352,62.19252911263064,16,1440,0.196346008%,3.6073,0.33053,1267.6786,2,827.0942
"UC Santa Cruz - University of California, Santa Cruz",70,0,83,70,57,1,1,1,1,329689,7113369.864,71686.4711,4480.4046,301.1247,348.1167,4709.8429,1047.0762296465882,101619.5694857,22591.716730854787,1024.09244429,227.67535854013326,64.00578000,14.229709908758329,4.30178143,1.1856024321125327,4.97309571,0.8325102068494795,54,10.43966421498897,16,256,0.104690174%,1.8162,0.05273,252.1091,1,443.7268
"Santa Fe Inst - Santa Fe Institute",68,0,71,68,14,1,1,1,1,13007,280639.032,2828.3823,176.7739,1088.2020,176.7739,191.2794,20.368714195773684,4127.0445882,439.475377488013,41.59385735,4.428670885842487,2.59961618,0.2767919303651867,16.00297059,1.100062161535077,2.59961618,0.2767919303651867,16,0,16,16,0.004130540%,7.1559,0.01563,16.0000,1,17.5061
"U Maine - University of Maine",67,0,67,67,67,1,1,1,1,44,949.344,9.6444,0.6030,0.1983,0.4893,0.6567,0.09333772958869095,14.1693134,2.013854853605596,0.14394627,0.020214211688842923,0.00900000,0.0012633882305655992,0.00295970,0.0005402635445361754,0.00730299,0.0012643246195666162,22,0.9281069715597946,16,32,0.000014085%,1.3931,0.02148,22.1818,1,0.0592
"AMNH - American Museum of Natural History",66,0,75,65,32,2,2,2,1,770216,16618180.416,167473.4358,10467.0901,1033.7668,313.9919,11669.9394,2052.940112970741,251790.6123636,44294.23587745671,2537.47630000,446.39001070321757,158.59227424,27.89937566895111,15.90410462,2.050575720268114,4.75745303,0.8154760765562393,343,33.19489073335857,16,1024,0.244576458%,4.3769,0.33496,566.7226,1,1036.6299
"US DoE - US Department of Energy",65,0,79,65,25,2,2,2,1,173409,3741472.584,37706.2090,2356.6382,1014.6782,486.7542,2667.8308,480.3322206303851,57561.1166769,10363.64799232119,580.09552308,104.44223984616357,36.25597231,6.5276399903852305,15.61043385,1.644257890659329,7.48852615,0.8679265792121834,58,6.406551039552787,16,192,0.055065754%,3.1253,0.05664,113.6986,1,233.3903
"Institute for Advanced Study - Institute for Advanced Study",64,0,114,63,2,1,1,1,1,3050430,65816077.680,660465.6175,41279.1011,1701.7676,1512.3480,47662.9688,0,1028376.2137500,0,10319.77527344,0,644.98595469,0,27.01218413,0.8788631653283202,23.63043750,0,362,19.658013633121737,64,768,0.964537094%,1.9634,0.35352,487.2946,1,4105.5585
"SDU - University of Southern Denmark",64,0,88,62,12,1,2,2,1,803930,17345593.680,174804.8355,10925.3019,1701.5263,591.4040,12561.4063,1325.0183015978596,271024.9012500,28588.59487527542,2731.32555469,288.11142709169667,170.70784219,18.006964193231042,27.44397258,1.7359309979456639,9.24068750,0.8593681406232445,199,15.074295174236173,64,320,0.255283157%,2.9925,0.19434,309.9087,1,1082.0054
"Salk Institute - Salk Institute for Biological Studies",63,0,77,63,26,3,1,1,1,42701,921316.776,9284.9645,580.3102,1099.7132,561.2703,677.7937,68.62535347937552,14624.0758095,1480.6606266710062,147.38038889,14.921564288628094,9.21127302,0.9325977680392666,17.45576508,2.0825510043566666,8.90905238,0.8996340673067811,18,0.8269845383180434,16,64,0.013559665%,3.1237,0.01758,17.1054,1,57.4711
"Chinese Acad of Sci - Chinese Academy of Sciences",61,0,68,62,34,1,1,1,1,10305840,222358803.840,2240886.7023,140055.4190,643.7764,201.9707,168948.1967,35334.17364825366,3645226.2924590,762370.1306347209,36735.84757869,7683.012943998986,2295.99047541,480.1883089999366,10.38349032,1.5411120714510718,3.31099508,0.6852677129902176,7594,909.7540251078475,16,16384,3.272567549%,2.6033,7.41602,12456.9289,1,13870.5787
"Southwest Res Inst - Southwest Research Institute",61,0,111,61,21,2,2,2,1,1745997,37671631.272,377554.6943,23594.1222,1207.0219,1170.0546,28622.9016,5253.601522389064,617567.7257705,113351.70644706643,6189.42121803,1135.881038463444,386.78888852,70.99698984820107,19.78724426,2.1174993702352363,19.18122295,0,189,47.413882307381954,16,1024,0.543591124%,1.9560,0.17993,966.5387,2,2349.9287
"TACC - Texas Advanced Computing Center",61,0,61,61,60,5,4,4,1,25911,559055.736,5634.0869,352.1649,28.3305,11.6638,424.7705,97.42556051356513,9164.8481311,2102.0538936406815,92.36208033,21.184067470228975,5.77319508,1.3239644257464,0.46443443,0.3433746302126939,0.19120984,0.04962486048509047,1672,230.92251990276083,12,4096,0.008227962%,19.5117,1.33700,2641.9757,2,34.8735
"Auburn Montgomery - Auburn University at Montgomery",60,0,60,60,60,1,1,1,1,332,7163.232,71.6222,4.4764,0.4015,4.0930,5.5333,1.0990017466059656,119.3872000,23.712061684770315,1.19370333,0.23978848227612048,0.07460667,0.014986780142264731,0.00669167,0.0038949891528328897,0.06821667,0.014382057955498033,24,5.561774297230455,16,256,0.000104596%,1.0897,0.02344,37.6867,1,0.4468
"Wake Forest Sch of Med - Wake Forest School of Medicine",60,0,61,60,53,1,1,1,1,85640,1847768.640,18621.1735,1163.8233,125.5863,15.3945,1427.3333,490.7405157725089,30796.1440000,10588.217368307653,310.35289167,106.70615772354897,19.39705500,6.669134857721811,2.09310500,0.5917611652746291,0.25657500,0.05467706998978876,1168,142.62375678686914,16,3840,0.027194167%,15.6973,1.14063,2948.4510,1,115.2624
"IUPUI - Indiana University-Purdue University Indianapolis",59,0,70,59,29,3,2,2,1,63805,1376656.680,13873.5823,867.0987,568.0150,540.2209,1081.4407,165.28690196501276,23333.1640678,3566.2301967971152,235.14546271,35.93995668724417,14.69658814,2.2462472929527704,9.62737288,1.3622417530882964,9.15628644,0.9547517190627164,92,23.217203922598433,16,512,0.020260835%,5.3904,0.08984,209.0128,1,85.8748
"Indiana Wesleyan U - Indiana Wesleyan University",59,0,59,59,59,2,1,1,1,338,7292.688,73.2177,4.5760,0.8776,2.7121,5.7288,3.7086892787586625,123.6048814,80.0186798784969,1.24097797,0.8065505947371169,0.07755932,0.050409412171069805,0.01487458,0.011001077711577573,0.04596780,0.025198686969076987,19,0.7815198358619319,16,32,0.000106926%,1.3475,0.01855,29.0651,1,0.4549
"U Iowa - University of Iowa",59,0,66,60,55,2,2,2,1,165158,3563449.008,35833.5732,2239.5981,194.5127,104.7396,2799.2881,1185.8807686685045,60397.4408136,25586.563464791652,607.34869831,257.88102856502576,37.95928983,16.11756428531412,3.24187833,1.3156227165339809,1.77524746,0.5569025965876515,185,28.78225042485449,16,1024,0.046051269%,3.1288,0.15787,753.5587,2,222.2853
"U Toronto - University of Toronto",59,0,63,59,59,2,1,1,1,22205,479095.080,2621.4042,163.8376,14.6258,94.8874,376.3559,111.31674096521864,8120.2555932,2401.7700030655574,44.43057966,12.090478162278842,2.77690847,0.755654885142431,0.24789492,0.1073868352967777,1.60826102,0.3877198607059525,22,0.9733045676147967,16,32,0.003828271%,1.1213,0.02148,30.6252,1,29.8856
"U Missouri, Kansas City - University of Missouri, Kansas City",58,0,61,58,42,1,1,1,1,45396,979464.096,9871.5244,616.9702,341.7878,90.9180,782.6897,259.41132652361233,16887.3120000,5597.05878107346,170.19869655,56.40542806486307,10.63741724,3.525339254053952,5.89289310,1.2611769791606484,1.56755172,0.4430127067361733,219,58.89043066771525,16,1536,0.014416271%,8.6398,0.21387,592.9738,1,61.0983
"U Cordoba - University of Cordoba",55,0,76,54,38,1,1,1,1,45988,992237.088,18318.9021,14133.3812,494.0786,495.5087,836.1455,59.760302239700465,18040.6743273,1289.3882811237772,333.07094727,44.02883919844666,256.97056727,50.88295036126306,9.14960370,1.4175469290657592,9.00924909,0.31587375856100947,26,2.588927471858849,16,64,0.025614319%,1.4774,0.02441,42.5708,2,61.8950
"PNL - Pacific Northwest National Laboratory",54,0,65,54,54,1,1,1,1,21128,455857.728,8880.4935,287.0336,8.7080,273.0458,391.2593,76.67189131355184,8441.8097778,1654.2727269811944,164.45358333,33.2473990958661,5.31543704,1.0418321184629193,0.16125926,0.0981102563633355,5.05640370,1.041463707478636,48,3.793586975359458,16,128,0.012022229%,1.0344,0.04257,35.4131,2,28.4361
"U Calgary - University of Calgary",54,0,64,54,0,1,1,1,1,199011,4293861.336,43272.8888,2704.5554,6097.1342,270.4554,3685.3889,571.5136142599309,79515.9506667,12330.97774127227,801.34979259,124.26864476528164,50.08435926,7.7667902978301235,112.90989259,11.97663460624591,5.00843333,0.7766790297830224,160,0,160,160,0.063195275%,23.5438,0.15625,160.0000,1,267.8479
"SUNYIT - SUNY Polytechnic Institute",53,0,53,53,53,22,1,1,1,3388,73099.488,681.7201,42.6078,1.5962,40.0253,63.9245,7.85621375119892,1379.2356226,169.5056678958679,12.86264340,1.5889057649093985,0.80392075,0.09930661030686391,0.03011698,0.007979492223054715,0.75519434,0.08239273756635868,18,0.9216576938088656,16,48,0.007300911%,1.0383,0.12175,18.1440,1,4.5599
"JAMSTEC - Japan Agency for Marine-Earth Science and Technology",52,0,53,52,27,1,1,1,1,63000,1359288.000,13554.1200,847.1323,659.3721,39.3868,1211.5385,284.4833457193973,26140.1538462,6138.0126672417155,260.65615385,61.91820931468443,16.29100577,3.8698880821677895,12.68023269,1.7949710113467385,0.75743846,0.10356835962961251,449,76.72527230395879,32,2048,0.019794295%,35.2134,0.43848,847.3895,1,84.7914
"STScI - Space Telescope Science Institute",52,0,76,52,41,1,1,1,1,159622,3444004.272,17824.9110,1114.0569,398.2651,586.4608,3069.6538,351.3629410266746,66230.8513846,7581.006815591531,342.78675000,37.52407945935875,21.42417115,2.345254966209932,7.65894423,2.3907617673651655,11.27809231,1.1815304061607845,30,0.8394028703994134,16,32,0.026031314%,1.6760,0.02930,31.5658,1,214.8345
